,feature,coefficient estimate,standard error,Z stats,P value,95%CI low,95%CI up
25,temp_min_cut3,-20.91696253116396,3.5281962225019754,-5.92851451905103,3.0568738878005455e-09,-27.8321000576581,-14.001825004669822
26,temp_min_inter1,-0.0677198296121233,0.623911133058187,-0.10854082580669007,0.9135666974793882,-1.2905631799597475,1.1551235207355008
27,temp_min_inter2,0.3428674674238543,0.47564451282355025,0.7208481506251452,0.4710029465587138,-0.589378647154404,1.2751135820021127
28,temp_min_inter3,1.4329844370686413,0.23651584578565565,6.058724870245246,1.3720483911644975e-09,0.9694218975557267,1.896546976581556
29,temperature_max,0.40910351872357875,0.34232137454702677,1.1950861066298322,0.23205338960222743,-0.26183404652684006,1.0800410839739976
30,temp_max_cut1,-389.37301277460597,62.59992372676097,-6.2200237571240375,4.970796115254927e-10,-512.0666087140119,-266.6794168352001
31,temp_max_cut2,-13.35162909437217,5.132538520535447,-2.601369486259457,0.009285238835408473,-23.411219743886136,-3.2920384448582016
32,temp_max_cut3,40.67342011377215,5.838663262689511,6.96622125370464,3.2556699846391942e-12,29.229850401043585,52.11698982650072
33,temp_max_inter1,0.4091035187225813,0.3423213745470251,1.1950861066269243,0.23205338960336352,-0.26183404652783426,1.080041083972997
34,temp_max_inter2,1.2733769854091772,0.5174390630070774,2.460921635890795,0.013858063119055625,0.2592150577211536,2.287538913097201
35,temp_max_inter3,-2.639002541180867,0.4132837913959453,-6.385448924254033,1.7089537732926303e-10,-3.449023887711084,-1.8289811946506496
36,petPM(mm),-0.1967465320606444,0.03656684441632138,-5.380462416188908,7.429474941824963e-08,-0.2684162301449139,-0.12507683397637492
37,petPM_cut1,21.48930790687774,20.57200124040468,1.0445900549855798,0.2962124779250208,-18.83107361422875,61.80968942798423
38,petPM_cut2,-45.05328757429491,20.983951800386976,-2.1470354108163776,0.03179046261188004,-86.18107735637781,-3.9254977922120133
39,petPM_inter1,-0.28148298735450017,0.27048609405865687,-1.040656039394981,0.2980352126641578,-0.8116259900283811,0.24866001531938076
40,petPM_inter2,0.5846497509797495,0.2742988535475021,2.13143344719996,0.03305344983585308,0.04703387702601847,1.1222656249334806
41,precipitation(mm),0.027697157280428042,0.008001289748978546,3.4615865878327794,0.0005370013465469748,0.012014917542560562,0.04337939701829552
42,precip_sq,-0.00017410657006257824,4.483657319273203e-05,-3.883137306550465,0.00010311729920090018,-0.0002619846387105271,-8.62285014146294e-05
43,precip_cut,-7.509931913332297,1.6335028104699565,-4.597440460584026,4.277127973690346e-06,-10.71153859049837,-4.308325236166224
44,precip_inter,0.049712615065348686,0.011797637159787705,4.213777249803405,2.5113497280347534e-05,0.02658967112949337,0.072835559001204
45,precipitation(mm)_lag1,0.011673617983627328,0.005075869168909606,2.2998264130072217,0.021458056417349887,0.0017250972223272435,0.02162213874492741
46,precip_lag1_sq,-3.622747298726812e-05,2.669471373279755e-05,-1.3571028837353092,0.17474852232415672,-8.85481504811581e-05,1.6093204506621866e-05
47,precip_lag1_cut,0.7620377002909908,1.0900098506665257,0.6991108381497796,0.4844827657885574,-1.374342349809282,2.8984177503912636
48,precip_lag1_inter,-0.00026920559530541066,0.009737313410174772,-0.02764680399668668,0.9779438517252312,-0.019353989185426856,0.018815577994816035
